Date,Open,High,Low,Close,Adj Close,Volume,log RO,log RH,log RL,log RC
7/15/1981,0.435268,0.4375,0.435268,0.435268,0.019658,2738400,0.025976151,0.020620287,0.025976151,0.025976151
7/16/1981,0.446429,0.450893,0.446429,0.446429,0.020162,3808000,0.02531844,0.030153355,0.02531844,0.02531844
7/17/1981,0.462054,0.464286,0.462054,0.462054,0.020868,4956000,0.034401394,0.029270681,0.034401394,0.034401394
7/20/1981,0.433036,0.433036,0.430804,0.430804,0.019456,5913600,-0.064860902,-0.069679876,-0.070028537,-0.070028537
7/21/1981,0.430804,0.430804,0.428571,0.428571,0.019356,7985600,-0.005167635,-0.005167635,-0.005196812,-0.005196812
7/22/1981,0.408482,0.408482,0.404018,0.404018,0.018247,5667200,-0.053205381,-0.053205381,-0.058996987,-0.058996987
7/23/1981,0.415179,0.417411,0.415179,0.415179,0.018751,8612800,0.016261903,0.021623498,0.027250321,0.027250321
7/24/1981,0.428571,0.430804,0.428571,0.428571,0.019356,7212800,0.031746666,0.031581882,0.031746666,0.031746666
7/27/1981,0.446429,0.448661,0.446429,0.446429,0.020162,4334400,0.040823955,0.040614361,0.040823955,0.040823955
7/28/1981,0.433036,0.433036,0.430804,0.430804,0.019456,5712000,-0.030459508,-0.035446726,-0.035627143,-0.035627143
7/29/1981,0.426339,0.426339,0.424107,0.424107,0.019154,3875200,-0.015586061,-0.015586061,-0.015667448,-0.015667448
7/30/1981,0.439732,0.444196,0.439732,0.439732,0.01986,2475200,0.030930646,0.041031102,0.036179669,0.036179669
7/31/1981,0.446429,0.448661,0.446429,0.446429,0.020162,2738400,0.015114923,0.010001685,0.015114923,0.015114923
8/3/1981,0.446429,0.446429,0.441964,0.441964,0.01996,3108000,0,-0.004987218,-0.010051942,-0.010051942
8/4/1981,0.448661,0.450893,0.448661,0.448661,0.020263,7918400,0.004987218,0.009949688,0.015039161,0.015039161
8/5/1981,0.462054,0.464286,0.462054,0.462054,0.020868,4373600,0.029414176,0.029270681,0.029414176,0.029414176
8/6/1981,0.453125,0.453125,0.450893,0.450893,0.020364,2632000,-0.019513742,-0.024332716,-0.024451707,-0.024451707
8/7/1981,0.450893,0.453125,0.450893,0.450893,0.020364,2301600,-0.004937965,0,0,0
8/11/1981,0.441964,0.441964,0.4375,0.4375,0.019759,17864000,-0.02000163,-0.024939595,-0.030153355,-0.030153355
8/12/1981,0.430804,0.430804,0.428571,0.428571,0.019356,6568800,-0.025575201,-0.025575201,-0.020620287,-0.020620287
8/13/1981,0.417411,0.417411,0.415179,0.415179,0.018751,6871200,-0.031581882,-0.031581882,-0.031746666,-0.031746666
8/14/1981,0.412946,0.412946,0.408482,0.408482,0.018448,6048000,-0.010754514,-0.010754514,-0.016261903,-0.016261903
8/17/1981,0.399554,0.399554,0.395089,0.395089,0.017843,4726400,-0.032967909,-0.032967909,-0.033336794,-0.033336794
8/18/1981,0.390625,0.390625,0.386161,0.386161,0.01744,4250400,-0.022600905,-0.022600905,-0.022856675,-0.022856675
8/19/1981,0.386161,0.386161,0.381696,0.381696,0.017239,5168800,-0.01149364,-0.01149364,-0.011629901,-0.011629901
8/20/1981,0.386161,0.388393,0.386161,0.386161,0.01744,4278400,0,0.005763333,0.011629901,0.011629901
8/21/1981,0.363839,0.363839,0.359375,0.359375,0.01623,10477600,-0.059542919,-0.065306252,-0.071887969,-0.071887969
8/24/1981,0.339286,0.339286,0.337054,0.337054,0.015222,5768000,-0.069868053,-0.069868053,-0.064123257,-0.064123257
8/25/1981,0.345982,0.348214,0.345982,0.345982,0.015626,10175200,0.019543341,0.025973824,0.026143596,0.026143596
8/26/1981,0.341518,0.341518,0.339286,0.339286,0.015323,8400000,-0.012986364,-0.019416847,-0.019543341,-0.019543341
8/27/1981,0.341518,0.34375,0.341518,0.341518,0.015424,6479200,0,0.006514263,0.006556977,0.006556977
8/28/1981,0.359375,0.361607,0.359375,0.359375,0.01623,9508800,0.050966025,0.050643338,0.050966025,0.050966025
8/31/1981,0.359375,0.361607,0.359375,0.359375,0.01623,10236800,0,0,0,0
9/1/1981,0.381696,0.383929,0.381696,0.381696,0.017239,9256800,0.060258069,0.059899653,0.060258069,0.060258069
9/2/1981,0.388393,0.390625,0.388393,0.388393,0.017541,4844000,0.017393233,0.017290381,0.017393233,0.017393233
9/3/1981,0.372768,0.372768,0.368304,0.368304,0.016634,9368800,-0.041061471,-0.046791778,-0.053109029,-0.053109029
9/4/1981,0.366071,0.366071,0.363839,0.363839,0.016432,3813600,-0.018128939,-0.018128939,-0.012197222,-0.012197222
9/8/1981,0.354911,0.354911,0.352679,0.352679,0.015928,6361600,-0.03096025,-0.03096025,-0.031153167,-0.031153167
9/9/1981,0.352679,0.354911,0.352679,0.352679,0.015928,7632800,-0.006308759,0,0,0
9/10/1981,0.354911,0.357143,0.354911,0.354911,0.016029,8702400,0.006308759,0.006269208,0.006308759,0.006308759
9/11/1981,0.352679,0.352679,0.350446,0.350446,0.015827,4384800,-0.006308759,-0.012577967,-0.012660425,-0.012660425
9/14/1981,0.341518,0.341518,0.339286,0.339286,0.015323,6921600,-0.032157909,-0.032157909,-0.032363219,-0.032363219
9/15/1981,0.332589,0.332589,0.330357,0.330357,0.01492,4877600,-0.026492893,-0.026492893,-0.026669522,-0.026669522
9/16/1981,0.325893,0.325893,0.323661,0.323661,0.014617,4838400,-0.020338387,-0.020338387,-0.020477216,-0.020477216
